,start,end,orig_time,location
0,16300,16649,16452,3
1,30150,30749,30249,3
2,42900,43599,43008,3
3,54650,55199,54747,3
4,66200,67949,67517,3
5,78950,80549,80056,3
6,93500,94099,93589,3
7,105550,106299,105654,3
8,118400,119049,118512,3
9,129850,130549,129961,3
10,143350,143949,143433,3
11,154900,156899,156419,3
12,168950,169899,169031,3
13,180750,182199,181462,3
14,193400,194349,193518,3
15,205650,206399,205757,3
16,217850,218449,217929,3
17,229800,230449,229925,3
18,241700,242899,242106,3
19,254900,255849,255008,3
20,273050,273199,273194,2
