,start,end,orig_time,location
0,7750,9499,8622,1
1,15350,15649,15481,1
2,27850,28199,27990,1
3,40650,40999,40778,1
4,54150,54599,54266,1
5,70850,71199,70979,1
6,89500,89799,89626,1
7,107500,107849,107661,1
8,124550,125699,125475,1
9,141950,142299,142100,1
10,159300,159699,159451,1
11,176250,176599,176389,1
12,192600,192949,192756,1
13,208200,208449,208318,1
14,223800,224149,223950,1
15,239900,240299,240009,1
16,256750,257199,256863,1
17,273650,273999,273801,1
18,288300,288649,288438,1
19,303750,304249,303892,1
20,319400,319749,319558,1
