,start,end,orig_time,location
0,12350,12449,12433,5
1,25250,25349,25272,5
2,38300,38449,38384,5
3,50900,50999,50982,7
4,63800,63999,63919,5
5,76300,76449,76391,5
6,89100,89299,89208,5
7,101600,101749,101695,5
8,114300,114449,114401,5
9,126850,127049,126971,5
10,139300,139449,139385,5
11,151750,151949,151861,5
12,164150,164299,164249,5
13,176600,176749,176695,5
14,189800,189899,189881,5
15,202450,202649,202558,5
16,215200,215399,215322,5
17,227500,227699,227613,5
18,240450,240649,240558,5
19,262750,262949,262866,5
