,start,end,orig_time,location
0,16300,16449,16369,7
1,28900,29049,28990,7
2,42250,42399,42318,7
3,55200,55349,55272,7
4,67900,68049,67988,7
5,80100,80249,80189,7
6,92450,92599,92515,7
7,104700,104899,104814,7
8,117400,117549,117462,7
9,129750,129899,129850,7
10,142900,143049,143003,7
11,154700,154849,154770,7
12,167750,167899,167838,7
13,180250,180399,180339,7
14,191900,192049,191986,7
15,204950,205099,205037,7
16,217200,217349,217293,7
17,229550,229699,229625,7
18,241550,241699,241615,7
19,254050,254199,254134,7
