,start,end,orig_time,location
0,19600,19749,19706,3
1,31950,32099,32088,7
2,45800,45949,45931,8
3,59200,59349,59332,7
4,72200,72349,72323,7
5,86050,86199,86165,8
6,99050,99199,99167,1
7,112400,112549,112527,1
8,126250,126399,126359,7
9,139500,139649,139604,7
10,154400,154549,154533,1
11,168000,168149,168131,7
12,181550,181699,181678,8
13,193800,193999,193948,1
14,207000,207199,207154,1
15,219500,219649,219611,7
16,233400,233549,233544,1
17,246500,246649,246606,1
18,258800,258949,258945,7
19,271700,271849,271815,1
