,start,end,orig_time,location
0,16100,16199,16186,9
1,29850,29999,29965,7
2,42300,42449,42431,9
3,55650,55749,55747,9
4,68600,68699,68678,9
5,80850,80999,80979,9
6,93850,93949,93938,7
7,106850,106999,106973,7
8,119300,119449,119425,9
9,131850,131999,131982,8
10,145550,145699,145673,7
11,160650,160799,160790,9
12,174700,174849,174841,7
13,188900,188999,188986,7
14,202850,202949,202926,7
15,216500,216599,216582,7
16,232300,232449,232394,7
17,246750,246899,246870,8
18,260750,260899,260884,8
19,274450,274599,274566,7
